Gender,Level of Study,Preferred Communication Platform,6. Online Instructional Strategies/Assessment [Demonstration],6. Online Instructional Strategies/Assessment [Digital Lab Experiments],6. Online Instructional Strategies/Assessment [Forum],6. Online Instructional Strategies/Assessment [Case Study],6. Online Instructional Strategies/Assessment [Concept Mapping],6. Online Instructional Strategies/Assessment [Real Time Online Exam],6. Online Instructional Strategies/Assessment [Individual Project/Assignment],6. Online Instructional Strategies/Assessment [Group Project/Assignment],6. Online Instructional Strategies/Assessment [Online Quiz/Test - MCQ],6. Online Instructional Strategies/Assessment [Online Quiz/Test - Essay],6. Online Instructional Strategies/Assessment [Online Quiz/Test - Open Book],6. Online Instructional Strategies/Assessment [Peer Review Assessment Live Presentation],6. Online Instructional Strategies/Assessment [Recorded Presentation],1. When operating new equipment for the first time I prefer to,2. When seeking travel directions I,3. When cooking a new dish I,4. To teach someone something I,5. I tend to say,6. I tend to say,7. I tend to say,8. Complaining about faulty goods I tend to,9. I prefer these leisure activities,10. When shopping generally I tend to,11. Choosing a holiday I,12. Choosing a new car I,13. Learning a new skill,14. Choosing from a restaurant menu,15. When listening to a band,16. When concentrating I,17. I remember things best by,18. My first memory is of,19. When anxious I,20. I feel especially connected to others because of,"21. When I revise for an exam, I","22. When explaining something to someone, I tend to",23. My main interests are,24. Most of my free time is spent,25. When I first contact a new person,26. I first notice how people,27. If I am very angry,28. I find it easiest to remember,29. I think I can tell someone is lying because,30. When I'm meeting with an old friend,Dominant_VAK
Female,Undergraduate,Whatsapp,Very Much,Not at All,Not Really,Not Really,Undecided,Not at All,Very Much,Very Much,Very Much,Very Much,Somewhat,Somewhat,Not Really,Read the instructions,Look at a map,Follow a recipe,Explain verbally,I know how you feel,Show me,Watch how I do it,Phone,Music or conversation,Look and decide,Listen to recommendations,Read the reviews,I watch what the teacher is doing,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Saying them aloud or repeating words and key points in my head,Looking at something,Visualize the worst case scenarios,How they look,Write lots of revision notes,Show them what I mean,Photography or watching films or people watching,Watching television,I talk to them on the telephone,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,Their voice changes,"I say ""it's great to see you!""",Visual
Male,Undergraduate,"Email, University eLearning Chat Room, Whatsapp",Very Much,Somewhat,Somewhat,Very Much,Very Much,Very Much,Somewhat,Very Much,Somewhat,Very Much,Somewhat,Very Much,Very Much,Read the instructions,Look at a map,Follow a recipe,Demonstrate and let them have a go,I see what you mean,Show me,Listen to me explain,Phone,Music or conversation,Discuss with shop staff,Listen to recommendations,Read the reviews,I watch what the teacher is doing,I imagine what the food will look like,I sing along to the lyrics (in my head or out loud),Focus on the words or pictures in front of me,Writing notes or keeping printed details,Looking at something,Visualize the worst case scenarios,How they look,"I talk over my notes, to myself or to other people",Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Watching television,I talk to them on the telephone,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,They avoid looking at you,"I say ""it's great to see you!""",Visual
Male,Undergraduate,Whatsapp,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Not Really,Read the instructions,Look at a map,Follow a recipe,Demonstrate and let them have a go,I know how you feel,Tell me,Watch how I do it,Phone,Museums or galleries,Discuss with shop staff,Read the brochures,Read the reviews,I watch what the teacher is doing,I imagine what  the food will taste like,I move in time with the music,Focus on the words or pictures in front of me,Writing notes or keeping printed details,Looking at something,"Can't sit still, fiddle and move around constantly",How they make me,"I talk over my notes, to myself or to other people",Show them what I mean,Photography or watching films or people watching,Watching television,I arrange a face to face meeting,Stand and move,"I stomp about, slam doors and throw things",Faces,They avoid looking at you,"I say ""it's great to see you!""",Visual
Male,Undergraduate,"University eLearning Chat Room, Whatsapp, Call",Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Read the instructions,Look at a map,"Follow my instinct, tasting as I cook",Write Instructions,I see what you mean,Show me,Watch how I do it,Write a letter,Museums or galleries,Look and decide,Read the brochures,Read the reviews,I watch what the teacher is doing,I imagine what the food will look like,I sing along to the lyrics (in my head or out loud),Focus on the words or pictures in front of me,Writing notes or keeping printed details,Looking at something,Visualize the worst case scenarios,How they look,Write lots of revision notes,Show them what I mean,Photography or watching films or people watching,Watching television,I arrange a face to face meeting,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,They avoid looking at you,"I say ""it's great to see you!""",Visual
Male,Undergraduate,"Whatsapp, Call",Somewhat,Undecided,Undecided,Undecided,Not Really,Not Really,Undecided,Undecided,Somewhat,Undecided,Somewhat,Undecided,Very Much,Listen to or ask for an explaination,Look at a map,Follow a recipe,Explain verbally,I see what you mean,Show me,Watch how I do it,"Go back to the store, or send the faulty item to the head office",Physical activities or making things,"Try on, handle or test",Listen to recommendations,Test-drive what you fancy,I watch what the teacher is doing,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Focus on the words or pictures in front of me,Doing and practicing the activity or imagining it being done,Doing something,Talk over in my head what worries me most,How they make me,"I talk over my notes, to myself or to other people",Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Doing physical activity or making things,I try to get together to share an activity,Look and dress,I keep replaying in my mind what it is that has upset me,Things I have done,The vibes I get from them,I give them a hug or a handshake,Kinesthetic
Male,Undergraduate,"Whatsapp, Others",Very Much,Very Much,Somewhat,Undecided,Undecided,Not Really,Undecided,Not Really,Very Much,Not at All,Very Much,Not Really,Somewhat,Listen to or ask for an explaination,Look at a map,"Follow my instinct, tasting as I cook",Demonstrate and let them have a go,I know how you feel,Let me try,You have a go,"Go back to the store, or send the faulty item to the head office",Music or conversation,Look and decide,Imagine the experience,Read the reviews,I like to give it a try and work it out as I go along by doing it,I imagine what  the food will taste like,I move in time with the music,"Move around a lot, fiddle with pens and pencils and touch unrelated things",Doing and practicing the activity or imagining it being done,Doing something,"Can't sit still, fiddle and move around constantly",What they say to me,Imagine making the movement or creating the formula,Encourage them to try and talk them through the idea as they try,"Physical/sports activities or fine wines, fine foods or dancing",Doing physical activity or making things,I try to get together to share an activity,Sound and speak,I keep replaying in my mind what it is that has upset me,Things I have done,The vibes I get from them,I give them a hug or a handshake,Kinesthetic
Male,Undergraduate,"Email, University eLearning Chat Room, Whatsapp, Telegram",Very Much,Undecided,Not at All,Not at All,Undecided,Not Really,Not Really,Very Much,Somewhat,Not at All,Very Much,Somewhat,Undecided,Read the instructions,Look at a map,"Follow my instinct, tasting as I cook",Explain verbally,I know how you feel,Let me try,Listen to me explain,Phone,Physical activities or making things,"Try on, handle or test",Listen to recommendations,Test-drive what you fancy,I talk through with the teacher exactly what I am supposed to do,I talk through the options in my head,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Doing and practicing the activity or imagining it being done,Looking at something,Talk over in my head what worries me most,What they say to me,Write lots of revision notes,Encourage them to try and talk them through the idea as they try,"Physical/sports activities or fine wines, fine foods or dancing",Doing physical activity or making things,I try to get together to share an activity,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,Their voice changes,"I say ""it's great to see you!""",Kinesthetic
Male,Undergraduate,Call,Very Much,Somewhat,Somewhat,Not at All,Very Much,Not at All,Not at All,Very Much,Very Much,Not at All,Very Much,Somewhat,Somewhat,Read the instructions,Ask for spoken directions,Follow a recipe,Explain verbally,I know how you feel,Tell me,Listen to me explain,Phone,Music or conversation,Look and decide,Listen to recommendations,Read the reviews,I talk through with the teacher exactly what I am supposed to do,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Writing notes or keeping printed details,Looking at something,Talk over in my head what worries me most,How they look,Write lots of revision notes,Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Talking to friends,I try to get together to share an activity,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,The vibes I get from them,I give them a hug or a handshake,Visual
Male,Undergraduate,"Email, University eLearning Chat Room, Whatsapp",Somewhat,Undecided,Undecided,Undecided,Somewhat,Not at All,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Read the instructions,Look at a map,Follow a recipe,Explain verbally,I see what you mean,Show me,Listen to me explain,Phone,Music or conversation,"Try on, handle or test",Listen to recommendations,Read the reviews,I talk through with the teacher exactly what I am supposed to do,I talk through the options in my head,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Doing and practicing the activity or imagining it being done,Doing something,Talk over in my head what worries me most,What they say to me,"I talk over my notes, to myself or to other people",Explain to them in different ways until they understand,Listening to music or listening to the radio or talking to friends,Watching television,I arrange a face to face meeting,Sound and speak,I keep replaying in my mind what it is that has upset me,Things I have done,The vibes I get from them,I give them a hug or a handshake,Auditory
Male,Undergraduate,Whatsapp,Very Much,Undecided,Somewhat,Somewhat,Somewhat,Undecided,Somewhat,Very Much,Very Much,Very Much,Very Much,Undecided,Undecided,Read the instructions,Look at a map,Follow a recipe,Write Instructions,I see what you mean,Let me try,Watch how I do it,Phone,Museums or galleries,Look and decide,Imagine the experience,Test-drive what you fancy,I watch what the teacher is doing,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Saying them aloud or repeating words and key points in my head,Looking at something,Visualize the worst case scenarios,What they say to me,Write lots of revision notes,Show them what I mean,"Physical/sports activities or fine wines, fine foods or dancing",Watching television,I talk to them on the telephone,Sound and speak,"I stomp about, slam doors and throw things",Faces,They avoid looking at you,"I say ""it's great to see you!""",Visual
Male,Undergraduate,Whatsapp,Somewhat,Somewhat,Undecided,Undecided,Undecided,Undecided,Somewhat,Somewhat,Somewhat,Somewhat,Very Much,Somewhat,Very Much,Listen to or ask for an explaination,Ask for spoken directions,Follow a recipe,Explain verbally,I see what you mean,Show me,Watch how I do it,Phone,Physical activities or making things,"Try on, handle or test",Imagine the experience,Test-drive what you fancy,I talk through with the teacher exactly what I am supposed to do,I talk through the options in my head,I sing along to the lyrics (in my head or out loud),"Move around a lot, fiddle with pens and pencils and touch unrelated things",Doing and practicing the activity or imagining it being done,Doing something,Talk over in my head what worries me most,How they make me,"I talk over my notes, to myself or to other people",Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Doing physical activity or making things,I try to get together to share an activity,Look and dress,"I stomp about, slam doors and throw things",Things I have done,The vibes I get from them,I give them a hug or a handshake,Kinesthetic
Female,Undergraduate,"Whatsapp, Call, Telegram",Very Much,Very Much,Not Really,Somewhat,Undecided,Very Much,Somewhat,Not at All,Somewhat,Undecided,Undecided,Somewhat,Somewhat,Read the instructions,Look at a map,"Follow my instinct, tasting as I cook",Explain verbally,I know how you feel,Let me try,You have a go,Phone,Physical activities or making things,Look and decide,Read the brochures,Test-drive what you fancy,I watch what the teacher is doing,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Focus on the words or pictures in front of me,Doing and practicing the activity or imagining it being done,Doing something,Talk over in my head what worries me most,What they say to me,Imagine making the movement or creating the formula,Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Talking to friends,I arrange a face to face meeting,Stand and move,I keep replaying in my mind what it is that has upset me,Faces,The vibes I get from them,I give them a hug or a handshake,Kinesthetic
Female,Undergraduate,"Email, Whatsapp, Call, Telegram",Somewhat,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Very Much,Read the instructions,Look at a map,Follow a recipe,Explain verbally,I hear what you are saying,Let me try,Listen to me explain,"Go back to the store, or send the faulty item to the head office",Physical activities or making things,Look and decide,Read the brochures,Test-drive what you fancy,I talk through with the teacher exactly what I am supposed to do,I imagine what  the food will taste like,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Doing and practicing the activity or imagining it being done,Doing something,Visualize the worst case scenarios,How they make me,Write lots of revision notes,Encourage them to try and talk them through the idea as they try,Listening to music or listening to the radio or talking to friends,Talking to friends,I arrange a face to face meeting,Sound and speak,I shout lots and tell people how I feel,Faces,Their voice changes,I give them a hug or a handshake,Auditory
Female,Postgraduate,"Whatsapp, Others",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Read the instructions,Ask for spoken directions,"Follow my instinct, tasting as I cook",Explain verbally,I know how you feel,Let me try,You have a go,"Go back to the store, or send the faulty item to the head office",Museums or galleries,"Try on, handle or test",Imagine the experience,Test-drive what you fancy,I like to give it a try and work it out as I go along by doing it,I imagine what  the food will taste like,I move in time with the music,Focus on the words or pictures in front of me,Doing and practicing the activity or imagining it being done,Doing something,"Can't sit still, fiddle and move around constantly",How they make me,"I talk over my notes, to myself or to other people",Encourage them to try and talk them through the idea as they try,"Physical/sports activities or fine wines, fine foods or dancing",Watching television,I try to get together to share an activity,Stand and move,"I stomp about, slam doors and throw things",Faces,Their voice changes,I give them a hug or a handshake,Kinesthetic
Female,Postgraduate,"Email, Whatsapp, Call",Somewhat,Undecided,Not Really,Somewhat,Undecided,Somewhat,Somewhat,Undecided,Somewhat,Not Really,Somewhat,Somewhat,Undecided,Read the instructions,Look at a map,Follow a recipe,Demonstrate and let them have a go,I know how you feel,Let me try,Listen to me explain,Write a letter,Physical activities or making things,"Try on, handle or test",Listen to recommendations,Read the reviews,I like to give it a try and work it out as I go along by doing it,I imagine what the food will look like,I sing along to the lyrics (in my head or out loud),Discuss the problem and possible solutions in my head,Writing notes or keeping printed details,Looking at something,"Can't sit still, fiddle and move around constantly",How they make me,"I talk over my notes, to myself or to other people",Explain to them in different ways until they understand,"Physical/sports activities or fine wines, fine foods or dancing",Doing physical activity or making things,I arrange a face to face meeting,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,The vibes I get from them,"I say ""it's great to see you!""",Visual
Female,Undergraduate,"Whatsapp, Call",Very Much,Not at All,Not at All,Not at All,Undecided,Somewhat,Very Much,Not Really,Undecided,Not at All,Undecided,Not Really,Undecided,Listen to or ask for an explaination,Ask for spoken directions,Follow a recipe,Demonstrate and let them have a go,I know how you feel,Show me,Listen to me explain,Phone,Music or conversation,"Try on, handle or test",Listen to recommendations,Test-drive what you fancy,I like to give it a try and work it out as I go along by doing it,I talk through the options in my head,I sing along to the lyrics (in my head or out loud),Focus on the words or pictures in front of me,Doing and practicing the activity or imagining it being done,Doing something,Talk over in my head what worries me most,How they make me,"I talk over my notes, to myself or to other people",Encourage them to try and talk them through the idea as they try,Listening to music or listening to the radio or talking to friends,Doing physical activity or making things,I arrange a face to face meeting,Look and dress,I keep replaying in my mind what it is that has upset me,Faces,The vibes I get from them,I give them a hug or a handshake,Kinesthetic
